Titles,Runtime,User Rating,Metascore,Votes,Gross,Genre
Fun with Dick and Jane,90,6.2,47,141093,110.33,Comedy
Freaky Friday,97,6.2,70,131783,110.23,Comedy
Trainwreck,125,6.2,75,133844,110.21,Comedy
Bedtime Stories,99,6.0,33,91581,110.10,Adventure
Scary Movie 3,84,5.5,49,142430,110.00,Comedy
Creed,133,7.6,82,259569,109.77,Drama
The 40-Year-Old Virgin,116,7.1,73,414639,109.45,Comedy
Couples Retreat,113,5.5,23,105177,109.21,Comedy
Black Hawk Down,144,7.7,74,378567,108.64,Drama
The Upside,126,7.0,46,52448,108.25,Comedy
The Princess Diaries,115,6.4,52,135944,108.25,Comedy
Little Women,135,7.8,91,168436,108.10,Drama
Hop,95,5.4,41,33015,108.09,Animation
Paranormal Activity,86,6.3,68,229140,107.92,Horror
Baby Driver,113,7.6,86,481319,107.83,Action
Epic,102,6.7,52,102747,107.52,Animation
Watchmen,162,7.6,56,527869,107.51,Action
Angry Birds,97,6.3,43,86323,107.51,Animation
Captain Phillips,134,7.8,82,439388,107.10,Adventure
Black Swan,108,8.0,79,726689,106.95,Drama
Chicken Run,84,7.0,88,183741,106.83,Animation
Miss Congeniality,109,6.3,43,197708,106.81,Action
300: Rise of an Empire,102,6.2,48,289485,106.58,Action
The Italian Job,111,7.0,68,354261,106.13,Action
How to Lose a Guy in 10 Days,116,6.4,45,222979,105.81,Comedy
The Lego Movie 2: The Second Part,107,6.6,65,60664,105.81,Animation
Robin Hood,140,6.6,53,260674,105.27,Action
Pitch Perfect 3,93,5.8,40,60199,104.90,Comedy
American Wedding,96,6.3,43,200418,104.57,Comedy
Road to Perdition,117,7.7,72,257882,104.45,Crime
The Princess and the Frog,97,7.1,73,133072,104.40,Animation
The Chronicles of Narnia: The Voyage of the Dawn Treader,113,6.3,53,147746,104.39,Adventure
Daddy Day Care,92,5.6,39,66360,104.30,Comedy
Daddy's Home 2,100,6.0,30,67135,104.03,Comedy
Paranormal Activity 3,83,5.8,59,92680,104.01,Horror
Journey 2: The Mysterious Island,94,5.8,41,98404,103.86,Action
The Mule,116,7.0,58,127092,103.80,Crime
Rise of the Guardians,97,7.3,58,164424,103.41,Animation
Dreamgirls,130,6.5,76,71901,103.37,Drama
Independence Day: Resurgence,120,5.2,32,173212,103.14,Action
The Expendables,103,6.5,45,335446,103.07,Action
Just Go with It,117,6.4,33,231231,103.03,Comedy
Murder on the Orient Express,114,6.5,52,225312,102.83,Crime
The Aviator,170,7.5,77,347009,102.61,Biography
Daredevil,103,5.3,42,213238,102.54,Action
The Girl with the Dragon Tattoo,158,7.8,71,442184,102.52,Crime
The Mummy: Tomb of the Dragon Emperor,112,5.2,31,155825,102.49,Action
The Conjuring 2,134,7.3,65,250367,102.47,Horror
The Maze Runner,113,6.8,57,439202,102.43,Action
Annabelle: Creation,109,6.5,62,124021,102.09,Horror
The Equalizer 2,121,6.7,50,146390,102.08,Action
Bad Grandpa,92,6.5,54,91785,102.00,Comedy
Pacific Rim,131,6.9,65,481491,101.80,Action
Journey to the Center of the Earth,93,5.8,57,118040,101.70,Action
Gone in 60 Seconds,118,6.5,35,268808,101.65,Action
The Equalizer,132,7.2,57,351768,101.53,Action
This Is the End,107,6.6,67,396522,101.47,Comedy
Noah,138,5.7,68,249327,101.20,Action
The Cat in the Hat,82,4.0,19,80006,101.15,Adventure
Eagle Eye,118,6.6,43,182427,101.11,Action
Rampage,107,6.1,45,155599,101.03,Action
Collateral,120,7.5,71,380821,101.01,Crime
Charlie's Angels: Full Throttle,106,4.9,48,125213,100.83,Action
Vanilla Sky,136,6.9,45,256356,100.61,Fantasy
Arrival,116,7.9,81,639765,100.55,Drama
Due Date,95,6.5,51,333342,100.54,Comedy
Million Dollar Baby,132,8.1,86,659985,100.49,Drama
A Wrinkle in Time,109,4.2,53,43303,100.48,Adventure
Step Brothers,98,6.9,51,279606,100.47,Comedy
Evan Almighty,96,5.4,37,143467,100.46,Comedy
Fifty Shades Freed,105,4.5,31,60737,100.41,Drama
Bad Teacher,92,5.6,47,198545,100.29,Comedy
Yogi Bear,80,4.6,35,21308,100.25,Animation
Cowboys & Aliens,119,6.0,50,214541,100.24,Action
Kingsman: The Golden Circle,141,6.7,44,294192,100.23,Action
Edge of Tomorrow,113,7.9,71,634449,100.21,Action
The Addams Family,86,5.8,46,34187,100.04,Animation
You Don't Mess with the Zohan,113,5.5,54,196247,100.02,Comedy
Passengers,116,7.0,41,374464,100.01,Drama
Gnomeo & Juliet,84,5.9,53,54270,99.97,Animation
Christopher Robin,104,7.3,60,73406,99.22,Animation
Olympus Has Fallen,119,6.5,41,266629,98.93,Action
The Green Hornet,119,5.8,39,158299,98.78,Action
Date Night,88,6.3,56,157342,98.71,Comedy
Meet the Robinsons,95,6.8,61,93171,97.82,Animation
Yes Man,104,6.8,46,348012,97.69,Comedy
Sausage Party,89,6.1,66,184624,97.69,Animation
Public Enemies,140,7.0,70,291009,97.10,Action
The Social Network,120,7.7,95,657607,96.96,Biography
Downton Abbey,122,7.4,64,46522,96.85,Drama
The Others,104,7.6,74,352058,96.52,Horror
Legally Blonde,96,6.4,59,201092,96.52,Comedy
Panic Room,112,6.8,65,269929,96.40,Crime
Rocketman,121,7.3,69,159491,96.37,Biography
Zero Dark Thirty,157,7.4,95,286317,95.72,Drama
Norbit,102,4.1,27,71983,95.67,Comedy
Cold Mountain,154,7.2,73,144266,95.64,Adventure
Sex and the City 2,146,4.5,27,76766,95.35,Comedy
The Princess Diaries 2: Royal Engagement,113,5.8,43,77540,95.17,Comedy
Unbreakable,106,7.3,62,402230,95.01,Drama
42,128,7.5,62,90720,95.00,Biography
The Book of Eli,118,6.9,53,304813,94.84,Action
"10,000 BC",109,5.1,34,128197,94.78,Action
Beverly Hills Chihuahua,91,3.8,41,23738,94.51,Adventure
Julie & Julia,123,7.0,66,113997,94.13,Biography
Maid in Manhattan,105,5.3,45,86958,94.01,Comedy
He's Just Not That Into You,129,6.4,47,167179,93.95,Comedy
Master and Commander: The Far Side of the World,138,7.4,81,212114,93.93,Action
Flight,138,7.3,76,339091,93.77,Drama
The Fighter,116,7.8,79,352431,93.62,Biography
America's Sweethearts,102,5.7,44,57024,93.61,Comedy
The Bucket List,97,7.4,42,238326,93.47,Adventure
Tomorrowland,130,6.4,60,177715,93.44,Action
The Magnificent Seven,132,6.9,54,200281,93.43,Action
Cats & Dogs,87,5.1,47,58313,93.39,Action
Space Station 3D,47,7.4,69,1664,93.37,Documentary
Two Weeks Notice,101,6.2,42,113698,93.35,Comedy
Red Dragon,124,7.2,60,262854,93.15,Crime
Elysium,109,6.6,61,432546,93.05,Action
The Town,125,7.5,74,369404,92.19,Crime
Non-Stop,106,6.9,56,257663,92.17,Action
Blade Runner 2049,164,8.0,81,505734,92.05,Action
John Wick: Chapter 2,122,7.5,75,396717,92.03,Action
Think Like a Man,122,6.5,51,45616,91.55,Comedy
Heaven Is for Real,99,5.8,47,26572,91.44,Biography
Ride Along 2,102,5.9,32,56056,91.22,Action
The Imitation Game,114,8.0,71,720936,91.13,Biography
Save the Last Dance,112,6.2,53,59796,91.06,Drama
The Scorpion King,92,5.5,45,134645,91.05,Action
Prince of Persia: The Sands of Time,116,6.6,50,280255,90.76,Action
Scary Movie 4,83,5.1,40,117531,90.71,Comedy
The Game Plan,110,6.1,44,62176,90.65,Comedy
"Me, Myself & Irene",116,6.6,49,230486,90.57,Comedy
High School Musical 3: Senior Year,112,4.9,57,60472,90.56,Comedy
Madea Goes to Jail,103,4.5,50,11827,90.49,Comedy
Space Cowboys,130,6.5,73,78420,90.46,Action
Get Hard,100,6.0,34,129566,90.41,Comedy
RED,111,7.0,60,299361,90.38,Action
Planes,91,5.7,39,43849,90.29,Animation
Legally Blonde 2,95,4.8,47,64331,90.19,Comedy
Mystic River,138,7.9,84,438451,90.14,Crime
Terminator Genisys,126,6.3,38,268386,89.76,Action
Flightplan,98,6.3,53,157488,89.71,Drama
The Emperor's New Groove,78,7.4,70,190787,89.30,Animation
The Lone Ranger,150,6.4,37,227802,89.30,Action
Taken 3,108,6.0,26,185886,89.26,Action
Don't Breathe,88,7.1,71,253373,89.22,Crime
Scream 3,116,5.6,56,129771,89.14,Horror
Oblivion,124,7.0,54,503178,89.02,Action
The Ugly Truth,96,6.4,28,211334,88.92,Comedy
Percy Jackson & the Olympians: The Lightning Thief,118,5.9,47,182837,88.76,Adventure
Failure to Launch,97,5.6,47,77689,88.72,Comedy
The Muppets,103,7.1,75,90127,88.63,Adventure
Inside Man,129,7.6,76,355261,88.51,Crime
Starsky & Hutch,101,6.1,55,143188,88.24,Comedy
Along Came Polly,90,6.0,44,131925,88.10,Comedy
Pineapple Express,111,6.9,64,326773,87.34,Action
Miss Peregrine's Home for Peculiar Children,127,6.7,57,163705,87.24,Adventure
Sisters,118,6.0,58,65106,87.04,Comedy
Saw II,93,6.6,40,242967,87.04,Horror
The Campaign,85,6.1,50,127926,86.91,Comedy
The Accountant,128,7.3,51,278712,86.26,Action
Dumb and Dumber to,109,5.6,36,133257,86.21,Comedy
The Emoji Movie,86,3.3,12,60483,86.09,Animation
Mean Girls,97,7.0,66,357273,86.06,Comedy
Annie,118,5.3,33,36396,85.91,Comedy
Alvin and the Chipmunks: The Road Chip,92,5.0,33,18405,85.89,Animation
Spy Kids 2: Island of Lost Dreams,100,5.2,66,64958,85.85,Action
Fury,134,7.6,64,452766,85.82,Action
Alita: Battle Angel,122,7.3,53,248528,85.71,Action
Real Steel,127,7.0,56,311857,85.47,Action
The SpongeBob SquarePants Movie,87,7.1,66,85299,85.42,Animation
Power Rangers,124,5.9,44,105118,85.36,Action
Brother Bear,85,6.8,48,103436,85.34,Animation
Anchorman: The Legend of Ron Burgundy,94,7.2,63,341195,85.29,Comedy
Open Season,86,6.1,49,91425,85.11,Animation
Green Book,130,8.2,69,430943,85.08,Biography
The Expendables 2,103,6.6,51,299598,85.02,Action
Paranormal Activity 2,91,5.7,53,101416,84.75,Horror
Tammy,97,4.9,39,50262,84.53,Comedy
The Santa Clause 3: The Escape Clause,92,4.8,32,35017,84.50,Adventure
Ferdinand,108,6.8,58,53023,84.41,Animation
Dolphins,39,7.2,NaN,497,84.40,Documentary
"Crazy, Stupid, Love.",118,7.4,68,493582,84.35,Comedy
Annabelle,99,5.4,37,150853,84.27,Horror
Scooby-Doo 2: Monsters Unleashed,93,5.1,34,53720,84.22,Adventure
Birds of Prey,109,6.1,60,211853,84.16,Action
Atlantis: The Lost Empire,95,6.9,52,111702,84.05,Animation
The Other Woman,109,6.0,39,135492,83.91,Comedy
Up in the Air,109,7.4,83,327015,83.82,Comedy
Wrath of the Titans,99,5.7,37,185575,83.67,Action
Insidious: Chapter 2,106,6.6,40,163281,83.59,Horror
Battle Los Angeles,116,5.7,37,177477,83.55,Action
Immortals,110,6.0,46,164775,83.50,Action
I Can Only Imagine,110,7.4,30,15450,83.48,Biography
Penguins of Madagascar,92,6.7,53,85257,83.35,Animation
Saving Mr. Banks,125,7.5,65,156975,83.30,Biography
Smallfoot,96,6.6,60,37111,83.24,Animation
Valkyrie,121,7.1,56,235438,83.08,Drama
Brokeback Mountain,134,7.7,87,339709,83.04,Drama
Turbo,96,6.4,58,90695,83.03,Animation
Charlotte's Web,97,6.3,68,39774,82.99,Adventure
Monster-in-Law,101,5.6,31,58947,82.93,Comedy
Are We There Yet?,95,4.7,27,31017,82.67,Adventure
Freddy vs. Jason,97,5.7,37,115201,82.62,Action
The Descendants,115,7.3,84,237154,82.58,Comedy
Cheaper by the Dozen 2,94,5.5,34,56958,82.57,Adventure
Let's Be Cops,104,6.4,30,130758,82.39,Action
Blade II,117,6.7,52,208250,82.35,Action
Bridge to Terabithia,96,7.2,74,149596,82.27,Drama
The Pink Panther,93,5.7,38,84304,82.23,Adventure
Beowulf,115,6.2,59,165214,82.16,Animation
Teenage Mutant Ninja Turtles: Out of the Shadows,112,6.0,40,88484,82.05,Action
The Post,116,7.2,83,143956,81.90,Drama
Maze Runner: The Scorch Trials,131,6.3,43,235236,81.70,Action
Eight Below,120,7.3,64,63205,81.61,Adventure
Unstoppable,98,6.8,69,191600,81.56,Action
Ted 2,115,6.3,48,195730,81.48,Comedy
School of Rock,109,7.1,82,292309,81.26,Comedy
Snow Dogs,99,5.2,29,26233,81.17,Adventure
21,123,6.8,48,239007,81.16,Crime
The Notebook,123,7.8,53,542728,81.00,Drama
Jimmy Neutron: Boy Genius,82,6.0,65,32795,80.94,Animation
Eat Pray Love,133,5.8,50,93343,80.57,Biography
The Texas Chainsaw Massacre,98,6.2,38,135820,80.57,Crime
Hustlers,110,6.3,79,91497,80.55,Comedy
Zookeeper,102,5.2,30,59522,80.36,Comedy
Alien vs. Predator,101,5.6,29,191109,80.28,Action
What Happens in Vegas,99,6.1,36,170079,80.28,Comedy
The Dukes of Hazzard,104,5.1,33,77426,80.27,Comedy
Saw III,108,6.2,48,186472,80.24,Crime
Disturbia,105,6.8,62,229602,80.21,Crime
Nacho Libre,92,5.8,52,84876,80.20,Comedy
Jumper,88,6.1,35,296347,80.17,Action
The Mummy,110,5.4,34,179928,80.10,Action
Goosebumps,103,6.3,60,84858,80.08,Adventure
Jack Reacher,130,7.0,50,322162,80.07,Action
Cloverfield,85,7.0,64,384331,80.05,Action
Dear John,108,6.3,43,143983,80.01,Drama
Men in Black: International,114,5.6,38,123832,80.00,Action
Knowing,121,6.2,41,227583,79.96,Action
War Horse,146,7.2,72,152364,79.88,Action
Dark Shadows,113,6.2,55,255977,79.73,Comedy
Hannah Montana: The Movie,102,4.6,47,41273,79.57,Comedy
The Day the Earth Stood Still,104,5.5,40,167046,79.37,Drama
Limitless,105,7.4,59,546702,79.25,Sci-Fi
The Purge: Election Year,108,6.0,55,95848,79.21,Action
Pixels,105,5.5,27,137552,78.75,Animation
A.I. Artificial Intelligence,146,7.2,65,298993,78.62,Drama
We Were Soldiers,138,7.2,65,135724,78.12,Action
Tower Heist,104,6.2,59,138826,78.05,Action
The Monuments Men,118,6.1,52,128535,78.03,Comedy
Man on Fire,146,7.7,47,346321,77.91,Action
The Terminal,128,7.4,55,430349,77.87,Comedy
Gangs of New York,167,7.5,72,421900,77.81,Crime
The Adventures of Tintin,107,7.3,68,223801,77.59,Animation
March of the Penguins,80,7.5,79,57207,77.44,Documentary
Night School,111,5.6,43,38795,77.34,Comedy
Parental Guidance,105,6.0,36,25505,77.27,Comedy
Where the Wild Things Are,101,6.7,71,102972,77.23,Adventure
The A-Team,117,6.7,47,252685,77.22,Action
U-571,116,6.6,62,80494,77.09,Action
Dolittle,101,5.6,26,55650,77.05,Adventure
Alice Through the Looking Glass,113,6.2,34,100614,77.04,Adventure
27 Dresses,111,6.1,47,159121,76.81,Comedy
Training Day,122,7.7,69,411323,76.63,Crime
Rugrats in Paris,78,6.2,62,12032,76.51,Animation
Knight and Day,109,6.3,46,187165,76.42,Action
Paddington,95,7.3,77,105780,76.27,Animation
Pete's Dragon,102,6.7,71,56475,76.23,Action
The Ring Two,110,5.4,44,94043,76.23,Horror
Constantine,121,7.0,50,323500,75.98,Action
The Haunted Mansion,88,5.1,34,46794,75.85,Comedy
The Family Man,125,6.8,42,106695,75.79,Comedy
Barbershop,102,6.3,66,30615,75.78,Comedy
The Intern,121,7.1,51,237714,75.76,Comedy
Hellboy II: The Golden Army,120,7.0,78,263034,75.75,Action
Contagion,106,6.8,70,293705,75.66,Drama
"You, Me and Dupree",110,5.6,46,80192,75.63,Comedy
We Bought a Zoo,124,7.1,58,139482,75.62,Comedy
2 Guns,109,6.7,55,204507,75.61,Action
Moneyball,133,7.6,87,393401,75.61,Biography
The Rookie,127,6.9,72,33826,75.60,Drama
Zombieland,88,7.6,73,544647,75.59,Adventure
Old School,88,7.1,54,223244,75.59,Comedy
The Hitman's Bodyguard,118,6.9,47,214163,75.47,Action
The Girl on the Train,112,6.5,48,179223,75.40,Crime
Garfield,80,5.0,27,83091,75.37,Animation
Ray,152,7.7,73,143311,75.33,Biography
Coraline,100,7.7,80,210098,75.29,Animation
The Exorcism of Emily Rose,119,6.7,46,124702,75.07,Drama
Eragon,104,5.1,38,124366,75.03,Action
Ladder 49,115,6.5,47,57147,74.54,Action
Four Brothers,109,6.8,49,140261,74.49,Action
No Country for Old Men,122,8.1,91,905550,74.28,Crime
Alien: Covenant,122,6.4,65,266807,74.26,Horror
Jack and Jill,91,3.3,23,81480,74.16,Comedy
Annabelle Comes Home,106,5.9,53,68063,74.15,Horror
Sin City,124,8.0,74,751106,74.10,Crime
Along Came a Spider,104,6.4,42,81621,74.08,Drama
Captain Underpants: The First Epic Movie,89,6.2,69,26710,73.92,Animation
Hugo,126,7.5,83,313820,73.86,Drama
Christmas with the Kranks,99,5.4,22,45766,73.78,Comedy
Monster House,91,6.6,68,109540,73.66,Animation
Law Abiding Citizen,109,7.4,34,283293,73.34,Action
Yesterday,116,6.8,55,139010,73.29,Comedy
Spirit: Stallion of the Cimarron,83,7.2,52,71599,73.28,Animation
Tyler Perry's a Madea Family Funeral,109,4.5,39,4193,73.26,Comedy
Hollow Man,112,5.8,24,127734,73.21,Action
Boo! A Madea Halloween,103,4.6,30,8184,73.16,Comedy
White House Down,131,6.3,52,213891,73.10,Action
John Carter,132,6.6,51,263479,73.08,Action
Hotel for Dogs,100,5.4,51,22733,73.03,Comedy
Dinner for Schmucks,114,5.9,56,104125,73.03,Comedy
Justin Bieber: Never Say Never,105,1.6,52,76155,73.01,Documentary
Barnyard,90,5.6,42,29591,72.78,Animation
Jackass Number Two,92,7.0,66,69793,72.78,Documentary
The Interpreter,128,6.4,62,103428,72.71,Crime
Hercules,98,6.0,47,151324,72.69,Action
Storks,87,6.8,56,59425,72.68,Animation
Bridge of Spies,142,7.6,81,299842,72.31,Drama
Dolphin Tale,113,6.8,64,23463,72.29,Drama
Vantage Point,90,6.6,40,147909,72.27,Action
A Bad Moms Christmas,104,5.6,42,47267,72.11,Comedy
This Is It,111,7.2,67,39728,72.09,Documentary
10 Cloverfield Lane,103,7.2,76,306764,72.08,Action
Fred Claus,116,5.6,42,41637,72.01,Comedy
1408,104,6.8,64,263062,71.99,Fantasy
The Purge: Anarchy,103,6.4,50,146478,71.96,Action
John Q,116,7.1,30,128919,71.76,Crime
RV,99,5.5,33,58307,71.73,Adventure
Mama,100,6.2,57,175013,71.63,Fantasy
Bridget Jones's Diary,97,6.7,66,234857,71.54,Comedy
Chocolat,121,7.2,64,184542,71.51,Drama
Sideways,127,7.5,94,185687,71.50,Comedy
"I Love You, Man",105,7.0,70,199325,71.44,Comedy
Safe Haven,115,6.7,34,107925,71.35,Drama
Scary Movie 2,83,5.3,29,155484,71.31,Comedy
The Spiderwick Chronicles,96,6.5,62,92275,71.20,Action
The Score,124,6.8,71,125208,71.07,Action
Paul Blart: Mall Cop 2,94,4.4,13,36091,71.04,Action
The Smurfs 2,105,5.3,34,40253,71.02,Animation
Shallow Hal,114,5.9,48,130729,70.84,Comedy
White Chicks,109,5.7,41,138075,70.83,Comedy
No Strings Attached,108,6.2,50,221757,70.66,Comedy
The Best Man Holiday,123,6.7,59,15389,70.53,Comedy
V for Vendetta,132,8.1,62,1069805,70.51,Action
The Invisible Man,124,7.1,72,195278,70.41,Drama
Shaft,99,6.0,50,75625,70.33,Action
World Trade Center,129,5.9,66,81925,70.28,Drama
Rocky Balboa,102,7.1,63,210193,70.27,Action
The Big Short,130,7.8,81,393155,70.26,Biography
Fool's Gold,112,5.7,29,76723,70.23,Action
Big Momma's House 2,99,4.8,34,42318,70.17,Comedy
The Golden Compass,113,6.1,51,183634,70.11,Adventure
Kill Bill: Vol. 1,111,8.1,69,1050867,70.10,Action
Act of Valor,110,6.5,40,67973,70.01,Action
Seven Pounds,123,7.6,36,294569,69.95,Drama
Swordfish,99,6.5,32,182125,69.77,Action
The Kid,104,6.1,45,41433,69.69,Comedy
Divine Secrets of the Ya-Ya Sisterhood,116,6.1,48,19046,69.60,Drama
The First Purge,97,5.2,54,60337,69.49,Action
Vertical Limit,124,5.9,48,60373,69.24,Action
Game Night,100,6.9,66,220813,69.18,Action
Good Boys,90,6.7,NaN,69203,69.06,Adventure
Guess Who,105,5.9,49,41706,68.92,Comedy
Sahara,124,6.0,41,95589,68.67,Action
Book Club,104,6.1,53,27037,68.57,Comedy
Percy Jackson: Sea of Monsters,106,5.8,39,114266,68.56,Adventure
The House with a Clock in Its Walls,105,6.1,57,49159,68.55,Comedy
Road Trip,93,6.4,55,163766,68.54,Comedy
Skyscraper,102,5.8,51,115043,68.42,Action
Bring It on,98,6.1,52,92240,68.38,Comedy
National Theatre Live: The Curious Incident of the Dog in the Night-Time,160,8.5,NaN,331,68.32,Drama
Obsessed,108,5.0,25,31364,68.26,Drama
Mr. Popper's Penguins,94,6.0,53,92354,68.22,Comedy
War Room,120,6.5,26,14401,67.79,Drama
Insidious: The Last Key,103,5.7,49,56783,67.75,Horror
The Tourist,103,6.0,37,233369,67.63,Action
This Is 40,134,6.2,59,133856,67.54,Comedy
Holes,117,7.0,71,82786,67.41,Adventure
Instant Family,118,7.3,57,99821,67.36,Comedy
Insomnia,118,7.2,78,285213,67.36,Drama
A Good Day to Die Hard,98,5.3,28,202717,67.35,Action
Role Models,99,6.8,61,225586,67.29,Comedy
Hidalgo,136,6.7,54,79730,67.29,Action
Lights Out,81,6.3,58,122549,67.27,Drama
Coach Carter,136,7.3,57,136979,67.26,Biography
Hacksaw Ridge,139,8.1,71,471263,67.21,Biography
Race to Witch Mountain,98,5.7,52,57976,67.17,Action
Angel Has Fallen,121,6.4,45,89401,67.16,Action
The Bounty Hunter,110,5.6,22,124733,67.06,Action
102 Dalmatians,100,4.9,35,36516,66.96,Adventure
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",81,6.2,54,42755,66.95,Comedy
Kangaroo Jack,89,4.4,16,30860,66.93,Action
Changing Lanes,98,6.5,69,70296,66.82,Drama
The Mexican,123,6.1,43,106366,66.81,Adventure
Charlie Wilson's War,102,7.0,67,114811,66.66,Biography
The Forgotten,91,5.8,43,65187,66.64,Drama
Contraband,109,6.4,51,120227,66.53,Action
Looper,113,7.4,84,552065,66.49,Action
The Final Destination,82,5.2,30,101384,66.48,Action
The League of Extraordinary Gentlemen,110,5.8,30,172436,66.47,Action
Finding Forrester,136,7.3,62,84921,66.40,Drama
Warm Bodies,98,6.8,60,225392,66.38,Comedy
Big Fish,125,8.0,58,428345,66.26,Adventure
Kill Bill: Vol. 2,137,8.0,83,716684,66.21,Action
Allegiant,120,5.7,33,115440,66.18,Action
Herbie Fully Loaded,101,4.8,47,46672,66.02,Adventure
Magic Mike XXL,115,5.6,60,54295,66.01,Comedy
The Manchurian Candidate,129,6.6,76,108151,65.96,Drama
X-Men: Dark Phoenix,113,5.7,43,171135,65.85,Action
Lara Croft Tomb Raider: The Cradle of Life,117,5.6,43,135228,65.66,Action
Madea's Witness Protection,114,4.9,42,10571,65.65,Comedy
The Taking of Pelham 123,106,6.4,55,192023,65.45,Action
Battleship,131,5.8,41,241978,65.42,Action
Step Up,104,6.5,48,114522,65.33,Crime
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,74,2.6,59,11973,65.28,Documentary
The Amityville Horror,90,6.0,33,109257,65.23,Horror
The Visit,94,6.2,55,123001,65.21,Horror
Jack the Giant Slayer,114,6.2,51,135019,65.19,Animation
Think Like a Man Too,106,5.8,38,20490,65.18,Comedy
Barbershop 2: Back in Business,106,5.7,59,14662,65.11,Comedy
Now You See Me 2,129,6.5,46,267136,65.08,Action
About Schmidt,125,7.1,85,126590,65.02,Comedy
Exodus: Gods and Kings,150,6.0,52,164078,65.01,Action
Friday the 13th,97,5.5,34,102726,65.00,Horror
Pitch Perfect,112,7.1,66,290650,65.00,Comedy
Stuart Little 2,77,5.5,66,52527,64.96,Animation
Mirror Mirror,106,5.6,46,86244,64.94,Adventure
Flushed Away,85,6.6,74,119312,64.67,Animation
Chronicle,84,7.0,69,245275,64.58,Action
A Dog's Purpose,100,7.2,43,69108,64.51,Adventure
The Happening,91,5.0,34,201817,64.51,Drama
The Purge,85,5.7,41,213479,64.47,Horror
The Wedding Ringer,101,6.6,35,73605,64.46,Comedy
Miracle,135,7.5,68,51891,64.38,Biography
Jackass: The Movie,87,6.6,42,86414,64.26,Documentary
The Nut Job,85,5.7,37,27695,64.25,Animation
Down to Earth,87,5.5,32,23464,64.19,Comedy
17 Again,102,6.4,48,190243,64.17,Comedy
Ice Age: Collision Course,94,5.7,34,61335,64.06,Animation
Deja Vu,126,7.1,59,301518,64.04,Action
Happy Feet Two,100,5.9,50,43410,64.01,Animation
Diary of a Wimpy Kid,120,6.2,56,46204,64.00,Comedy
Sky High,100,6.2,62,83379,63.95,Adventure
Last Vegas,105,6.6,48,130759,63.91,Comedy
Mona Lisa Smile,117,6.5,45,79875,63.86,Drama
The Shape of Water,123,7.3,87,395041,63.86,Adventure
Unknown,113,6.8,56,256015,63.69,Action
Hope Springs,100,6.3,65,41989,63.54,Comedy
Miami Vice,132,6.0,66,113917,63.45,Action
The Time Traveler's Wife,107,7.1,47,145748,63.41,Comedy
Madea's Family Reunion,107,5.3,45,11129,63.32,Comedy
Saw IV,93,5.9,36,146068,63.30,Crime
The Holiday,136,6.9,52,262666,63.22,Comedy
Forgetting Sarah Marshall,111,7.1,67,274245,63.17,Comedy
The Sorcerer's Apprentice,109,6.1,46,157619,63.15,Action
A Nightmare on Elm Street,95,5.2,35,96574,63.08,Crime
The Boss,99,5.4,40,44284,63.03,Comedy
The Last Song,107,6.0,33,84664,62.95,Drama
Scary Stories to Tell in the Dark,108,6.2,61,69150,62.74,Adventure
London Has Fallen,99,5.9,28,151854,62.68,Action
Jarhead,125,7.0,58,182257,62.66,Action
Black Mass,123,6.9,68,173992,62.58,Biography
The Fast and the Furious: Tokyo Drift,104,6.0,45,258300,62.51,Action
The Adjustment Bureau,106,7.0,60,251298,62.50,Romance
The Call of the Wild,100,6.8,47,44312,62.34,Adventure
Underworld: Awakening,88,6.3,39,150419,62.32,Action
Underworld: Evolution,106,6.7,36,195067,62.32,Action
Terminator: Dark Fate,128,6.2,54,163896,62.25,Action
Bewitched,102,4.8,34,71073,62.25,Comedy
The Wolfman,103,5.8,43,105020,61.98,Drama
Ender's Game,114,6.6,51,231758,61.74,Action
A Beautiful Day in the Neighborhood,109,7.3,80,70289,61.70,Biography
Miracles from Heaven,109,7.1,44,24038,61.69,Biography
Cinderella Man,144,8.0,69,181899,61.65,Biography
Onward,102,7.4,61,127398,61.56,Animation
Deepwater Horizon,107,7.1,68,160935,61.43,Action
Stomp the Yard,115,5.5,44,25327,61.36,Drama
Rules of Engagement,128,6.4,45,46290,61.34,Drama
The Cell,107,6.4,40,99822,61.33,Crime
Friday Night Lights,118,7.2,70,61373,61.26,Action
The Shaggy Dog,98,4.4,43,18873,61.12,Comedy
Prisoners,153,8.1,70,643014,61.00,Crime
Get Him to the Greek,109,6.3,65,174076,60.97,Comedy
Mission to Mars,114,5.7,34,72149,60.88,Adventure
Coyote Ugly,100,5.7,27,111046,60.79,Comedy
God's Not Dead,113,4.7,16,41924,60.76,Drama
Abominable,97,7.0,61,34458,60.72,Animation
Poseidon,98,5.7,50,101795,60.67,Action
After Earth,100,4.8,33,196675,60.52,Action
Shanghai Knights,114,6.2,58,103429,60.48,Action
The Lucky One,101,6.5,39,104812,60.46,Drama
The Wedding Planner,103,5.3,33,79017,60.40,Comedy
Burn After Reading,96,7.0,63,321531,60.36,Comedy
Why Him?,111,6.2,39,106701,60.32,Comedy
Blockers,102,6.2,69,75791,60.31,Comedy
Baby Mama,99,6.0,55,43811,60.27,Comedy
Resident Evil: Afterlife,96,5.8,37,166766,60.13,Action
