Titles,Runtime,User Rating,Metascore,Votes,Gross,Genre
How the Grinch Stole Christmas,104,6.2,46,223104,260.04,Comedy
Captain America: The Winter Soldier,136,7.7,70,781412,259.77,Action
The Hobbit: The Desolation of Smaug,161,7.8,66,624032,258.37,Adventure
The Lego Movie,100,7.7,83,336125,257.76,Animation
Star Trek,127,7.9,82,591073,257.73,Action
I Am Legend,101,7.2,65,716012,256.39,Action
The Blind Side,129,7.6,53,309601,255.96,Biography
The Hobbit: The Battle of the Five Armies,144,7.4,59,496236,255.12,Adventure
The Hangover Part II,102,6.5,44,479251,254.46,Comedy
Despicable Me,95,7.6,72,518837,251.51,Animation
Night at the Museum,108,6.4,48,328709,250.86,Adventure
Harry Potter and the Prisoner of Azkaban,142,7.9,82,583164,249.36,Adventure
Moana,107,7.6,81,299111,248.76,Animation
Transformers: Age of Extinction,165,5.6,32,305385,245.44,Action
Cars,117,7.1,73,389442,244.08,Animation
Bruce Almighty,101,6.8,46,385317,242.83,Comedy
My Big Fat Greek Wedding,95,6.6,62,125376,241.44,Comedy
Maleficent,97,7.0,56,358554,241.41,Action
Pirates of the Caribbean: On Stranger Tides,136,6.6,45,499343,241.06,Action
Furious 6,130,7.0,61,382458,238.68,Action
Shrek Forever After,93,6.3,58,194004,238.37,Animation
Brave,93,7.1,69,389612,237.28,Animation
Oz the Great and Powerful,130,6.3,44,203308,234.91,Adventure
X-Men: The Last Stand,104,6.7,58,497542,234.36,Action
War of the Worlds,116,6.5,73,430379,234.28,Action
Fantastic Beasts and Where to Find Them,132,7.3,66,430243,234.04,Adventure
X-Men: Days of Future Past,132,7.9,75,681598,233.92,Action
Cast Away,143,7.8,73,554907,233.63,Adventure
Doctor Strange,115,7.5,72,649170,232.64,Action
Justice League,120,6.1,45,427020,229.02,Action
Star Trek Into Darkness,132,7.7,72,473077,228.78,Action
The Martian,144,8.0,80,799112,228.43,Adventure
Signs,106,6.7,59,349487,227.97,Drama
Hancock,92,6.4,49,461145,227.95,Action
The Bourne Ultimatum,115,8.0,85,617666,227.47,Action
Logan,137,8.1,77,692719,226.28,Action
Rush Hour 2,90,6.6,48,209180,226.16,Action
The Fate of the Furious,136,6.6,56,220149,226.01,Action
WALL·E,98,8.4,95,1046861,223.81,Animation
Big Hero 6,102,7.8,74,431330,222.53,Animation
Mission: Impossible - Fallout,147,7.7,86,309535,220.16,Action
National Treasure: Book of Secrets,124,6.5,48,226947,219.96,Action
Alvin and the Chipmunks: The Squeakquel,88,4.5,41,46456,219.61,Animation
Ted,106,6.9,62,588048,218.82,Comedy
King Kong,187,7.2,81,408163,218.08,Action
How to Train Your Dragon,98,8.1,75,696484,217.58,Animation
The Da Vinci Code,149,6.6,46,416291,217.54,Mystery
Alvin and the Chipmunks,92,5.2,39,81091,217.33,Animation
Ant-Man and the Wasp,118,7.0,70,348664,216.65,Action
Bohemian Rhapsody,134,7.9,49,491228,216.43,Biography
Madagascar 3: Europe's Most Wanted,93,6.8,60,171646,216.39,Animation
Kung Fu Panda,92,7.6,74,440132,215.43,Animation
Mission: Impossible II,123,6.1,59,326546,215.41,Action
A Star Is Born,136,7.6,88,357759,215.29,Drama
X2: X-Men United,134,7.4,68,528874,214.95,Action
The Lorax,86,6.4,46,105124,214.03,Animation
Solo: A Star Wars Story,135,6.9,62,314721,213.77,Action
Venom,112,6.7,35,419548,213.52,Action
Austin Powers in Goldmember,94,6.2,62,202510,213.31,Action
It Chapter Two,169,6.5,58,232791,211.59,Drama
300,117,7.6,52,759324,210.61,Action
Fast Five,130,7.3,66,367968,209.84,Action
Coco,105,8.4,81,436500,209.73,Animation
Mission: Impossible - Ghost Protocol,132,7.4,73,471218,209.40,Action
Wedding Crashers,119,6.9,64,342806,209.22,Comedy
Sherlock Holmes,128,7.6,57,604994,209.03,Action
Dawn of the Planet of the Apes,130,7.6,79,424109,208.55,Action
Batman Begins,140,8.2,70,1365973,206.85,Action
Charlie and the Chocolate Factory,115,6.6,72,449282,206.46,Adventure
Ratatouille,111,8.0,96,672515,206.45,Animation
Thor: The Dark World,112,6.8,54,631427,206.36,Action
Bad Boys for Life,124,6.6,59,145211,206.31,Action
The Amazing Spider-Man 2,142,6.5,53,437956,202.85,Action
World War Z,116,7.0,63,628551,202.36,Action
The Mummy Returns,130,6.4,48,311883,202.02,Action
Cinderella,105,6.9,67,169304,201.15,Adventure
Ralph Breaks the Internet,112,7.0,71,145318,201.09,Animation
Tangled,100,7.7,71,424876,200.82,Animation
Godzilla,123,6.4,62,399611,200.68,Action
Superman Returns,154,6.0,72,276657,200.08,Action
Spectre,148,6.8,60,410506,200.07,Action
